,Unnamed: 0.1,Unnamed: 0,Customer City,Customer Id,Customer Street,Days for shipping (real),Days for shipment (scheduled),Delivery Status,Late_delivery_risk,Payment Method,First Name,Last Name,pincode
71,166,166,Caguas,14508,4462 Little Lagoon Route,6.0,2.0,Late delivery,1.0,DEBIT,Roanna,Martin,725
72,167,167,Caguas,14472,9854 Jagged Impasse,5.0,2.0,Late delivery,1.0,DEBIT,Vivian,Hays,725
73,168,168,Caguas,14562,5336 Sleepy Sky Common,5.0,2.0,Late delivery,1.0,DEBIT,Xantha,Brock,725
74,169,169,Caguas,13206,3836 Blue Brook Stead,4.0,2.0,Late delivery,1.0,DEBIT,Zia,Davis,725
75,170,170,Caguas,13080,4896 Honey Wood ,3.0,2.0,Late delivery,1.0,DEBIT,Mara,Duffy,725
76,171,171,Caguas,14633,4592 Grand Timber Ramp,6.0,2.0,Late delivery,1.0,DEBIT,Sloane,Long,725
77,172,172,Caguas,14097,146 Middle Terrace,5.0,2.0,Late delivery,1.0,DEBIT,Winifred,Alexander,725
78,173,173,Caguas,13024,3710 Little Nook ,2.0,2.0,Shipping on time,0.0,DEBIT,Giselle,Farrell,725
79,234,234,Amarillo,20423,5154 Honey Bend,6.0,4.0,Late delivery,1.0,DEBIT,Ainsley,Leach,79109
80,243,243,New York,18349,2275 Rustic Impasse,2.0,4.0,Advance shipping,0.0,DEBIT,Rana,Moreno,10016
81,257,257,Houston,17446,569 Hazy Wynd,4.0,4.0,Shipping on time,0.0,DEBIT,Freya,Golden,77088
82,261,261,Garden Grove,20529,7262 Emerald Boulevard,2.0,4.0,Advance shipping,0.0,DEBIT,Lynn,Sweeney,92840
83,264,264,Placentia,17392,7126 Hazy Berry Mount,5.0,4.0,Late delivery,1.0,DEBIT,Patience,Ward,92870
84,265,265,San Jose,18276,4845 Thunder Embers Hollow,4.0,4.0,Shipping on time,0.0,DEBIT,Cheryl,Koch,95148
85,267,267,Mentor,20655,5808 Silver Rise Circuit,3.0,4.0,Advance shipping,0.0,DEBIT,Whitney,Collins,44060
86,272,272,Pompano Beach,16086,5875 Grand Campus,4.0,4.0,Shipping on time,0.0,DEBIT,Aimee,Terrell,33068
87,307,307,Washington,9385,3361 Little Ledge,2.0,4.0,Advance shipping,0.0,DEBIT,Andrew,Whitehead,15301
88,362,362,Caguas,19445,9135 Green Island Moor,3.0,4.0,Advance shipping,0.0,TRANSFER,Felicia,Clark,725
89,363,363,Sunnyvale,19444,1800 Quiet Creek Stead,2.0,4.0,Advance shipping,0.0,DEBIT,Wanda,Sanford,94087
90,364,364,Sugar Land,19443,1165 Quiet Inlet,6.0,2.0,Late delivery,1.0,DEBIT,Hayfa,Boyle,77478
91,365,365,Caguas,19442,432 Rocky Link,5.0,4.0,Late delivery,1.0,DEBIT,Lavinia,Houston,725
92,366,366,Brighton,19441,2607 Clear Branch Cape,4.0,4.0,Shipping on time,0.0,PAYMENT,Yetta,Robinson,2135
93,367,367,Caguas,19440,6826 Quiet Lane,3.0,4.0,Advance shipping,0.0,DEBIT,Jennifer,Holmes,725
94,368,368,Garden Grove,19439,9780 Misty Pike,2.0,4.0,Shipping canceled,0.0,TRANSFER,Mara,Mcneil,92840
95,369,369,Caguas,19438,4135 Golden Shadow Front,6.0,2.0,Late delivery,1.0,PAYMENT,Cleo,Woodward,725
96,370,370,Bismarck,19437,8307 Merry Pointe,5.0,4.0,Late delivery,1.0,TRANSFER,Cally,Dunn,58501
97,371,371,Caguas,19436,9299 Grand Branch Route,2.0,1.0,Late delivery,1.0,DEBIT,Wynter,Gay,725
98,372,372,Gaithersburg,19435,2210 Merry Leaf Row,3.0,4.0,Advance shipping,0.0,TRANSFER,Hyacinth,Nolan,20878
99,373,373,Caguas,19434,3309 Harvest Thicket,2.0,4.0,Advance shipping,0.0,DEBIT,Emma,Mayo,725
100,374,374,Bismarck,19433,5953 Lost Plaza,6.0,4.0,Late delivery,1.0,DEBIT,Xerxes,Terrell,58501
101,375,375,Honolulu,19432,1070 Dusty Beacon Maze,5.0,4.0,Late delivery,1.0,TRANSFER,Noel,Wheeler,96817
102,376,376,Lilburn,19431,7094 Sleepy End,4.0,4.0,Shipping on time,0.0,DEBIT,Maryam,Grant,30047
103,377,377,Caguas,19430,9393 Golden View Pike,3.0,4.0,Advance shipping,0.0,TRANSFER,Naida,Small,725
104,378,378,Virginia Beach,19429,9627 Little Terrace,2.0,4.0,Advance shipping,0.0,TRANSFER,Lana,Green,23455
105,379,379,Azusa,19428,1010 Rustic Fox View,6.0,2.0,Late delivery,1.0,PAYMENT,Patience,Woodward,91702
106,380,380,Long Beach,19427,7735 Gentle Terrace,5.0,4.0,Late delivery,1.0,PAYMENT,Rylee,Garrett,90813
107,381,381,Bronx,19426,2720 Stony Field,4.0,4.0,Shipping on time,0.0,TRANSFER,Dakota,Green,10458
108,382,382,Caguas,19425,45 Merry Bear View,3.0,4.0,Advance shipping,0.0,TRANSFER,Fallon,Donovan,725
109,383,383,Provo,19424,3741 Bright Extension,2.0,1.0,Late delivery,1.0,DEBIT,Kylynn,Zimmerman,84604
110,384,384,Columbia,19423,3408 Tawny Spring Glen,2.0,1.0,Late delivery,1.0,DEBIT,Inez,Fleming,38401
111,385,385,Caguas,19422,4105 Fallen Goose Port,2.0,1.0,Late delivery,1.0,DEBIT,Carolyn,Davenport,725
112,386,386,Stockton,19421,6332 Round Range,2.0,1.0,Late delivery,1.0,TRANSFER,Miriam,Vega,95207
113,387,387,Marietta,19420,7121 Foggy Woods,0.0,0.0,Shipping on time,0.0,TRANSFER,Danielle,Rush,30062
114,388,388,Caguas,19419,482 High Quay,0.0,0.0,Shipping on time,0.0,PAYMENT,Chloe,Pickett,725
115,389,389,Holland,19418,7177 Old Nectar Ridge,0.0,0.0,Shipping on time,0.0,CASH,Beverly,Fisher,49423
116,390,390,Rio Grande,19417,6750 Stony Fawn Wood,5.0,4.0,Late delivery,1.0,TRANSFER,Gillian,Camacho,745
117,391,391,Brooklyn,19416,2636 Indian Expressway,4.0,4.0,Shipping on time,0.0,PAYMENT,Madeline,Wooten,11212
118,392,392,Caguas,19415,9891 Foggy Hills Acres,3.0,4.0,Advance shipping,0.0,TRANSFER,Yoshi,Shelton,725
119,393,393,Denver,19414,7500 Wishing Brook Grove,2.0,4.0,Advance shipping,0.0,DEBIT,Hadley,Russell,80219
120,394,394,Taylor,19413,1497 Sleepy Thicket,6.0,4.0,Late delivery,1.0,DEBIT,Renee,Morales,48180
121,395,395,Caguas,19412,5012 Honey Wagon Stead,5.0,4.0,Shipping canceled,0.0,TRANSFER,Iola,King,725
122,396,396,Chicago,19411,8832 Old Quay,4.0,2.0,Late delivery,1.0,DEBIT,Tamekah,Blair,60637
123,397,397,Caguas,19410,8707 Foggy View,3.0,4.0,Advance shipping,0.0,DEBIT,Cherokee,Huffman,725
124,398,398,Detroit,19409,4148 Indian Landing,2.0,2.0,Shipping on time,0.0,DEBIT,Odessa,Cherry,48205
125,399,399,Caguas,19408,4690 Quiet Hickory Campus,2.0,1.0,Late delivery,1.0,PAYMENT,Rose,Mack,725
126,400,400,Murfreesboro,19407,8659 Foggy Deer Port,5.0,2.0,Late delivery,1.0,DEBIT,Linda,Haley,37130
127,401,401,Caguas,19406,8284 Colonial Gate Path,4.0,2.0,Late delivery,1.0,PAYMENT,May,Kennedy,725
128,402,402,Cleveland,19405,7701 Rustic Carrefour,3.0,4.0,Advance shipping,0.0,DEBIT,Lilah,Holmes,44102
129,403,403,Caguas,19404,406 Shady Cider Corner,2.0,4.0,Advance shipping,0.0,TRANSFER,Tana,Franklin,725
130,404,404,Lockport,19403,4542 Sunny Parade,6.0,4.0,Late delivery,1.0,DEBIT,Emi,Mitchell,14094
131,405,405,Caguas,19402,2070 Rocky Apple Front,5.0,4.0,Late delivery,1.0,PAYMENT,Cynthia,Albert,725
132,406,406,Saint Charles,19401,3761 Foggy Hickory Extension,4.0,2.0,Late delivery,1.0,PAYMENT,Myra,Manning,63301
133,407,407,Los Angeles,19400,9767 Amber Valley,3.0,2.0,Shipping canceled,0.0,TRANSFER,Medge,Mcfarland,90046
134,408,408,Cupertino,19399,3538 Rustic Dale Run,2.0,4.0,Advance shipping,0.0,TRANSFER,Chloe,Nichols,95014
135,409,409,Caguas,19398,1946 Jagged Trail,6.0,4.0,Late delivery,1.0,PAYMENT,Beatrice,Holt,725
136,410,410,Springfield,19397,5434 Middle Range,5.0,4.0,Late delivery,1.0,TRANSFER,Ria,Padilla,65807
137,411,411,Caguas,19396,7108 Cinder Road,4.0,2.0,Late delivery,1.0,PAYMENT,Charity,Sharpe,725
138,412,412,Mission Viejo,19395,1557 High Spring Cove,3.0,4.0,Advance shipping,0.0,TRANSFER,Nell,Garrison,92692
139,413,413,Los Angeles,19394,183 Crystal Lake Drive,2.0,4.0,Advance shipping,0.0,DEBIT,Tamara,Larson,90042
140,414,414,Caguas,19393,1870 Crystal Blossom Towers,6.0,2.0,Late delivery,1.0,CASH,Phyllis,Higgins,725
141,415,415,Roswell,19392,8932 High Row,5.0,2.0,Late delivery,1.0,TRANSFER,Nelle,Shaffer,30075
142,416,416,Caguas,19391,6449 Merry Lagoon Drive,2.0,1.0,Late delivery,1.0,PAYMENT,Aimee,Daugherty,725
143,417,417,Ypsilanti,19390,3505 High Mall,2.0,1.0,Late delivery,1.0,CASH,Blossom,Middleton,48197
144,418,418,Brooklyn,19389,7320 Lazy Forest Falls,2.0,2.0,Shipping on time,0.0,CASH,Breanna,Morrison,11218
145,419,419,Caguas,19388,851 Green Prairie Park,6.0,2.0,Late delivery,1.0,DEBIT,Katelyn,Key,725
146,420,420,Peoria,19387,5674 Merry Nectar Pines,5.0,2.0,Late delivery,1.0,PAYMENT,Karly,Porter,85345
147,421,421,Caguas,19386,8651 Heather Drive,2.0,1.0,Late delivery,1.0,DEBIT,Olga,Stein,725
148,422,422,Garden Grove,19385,3068 Indian Quail Cove,2.0,1.0,Late delivery,1.0,CASH,Brenna,Wyatt,92843
149,423,423,Caguas,19384,427 Clear Leaf Loop,2.0,1.0,Late delivery,1.0,PAYMENT,Tatyana,Tyson,725
150,424,424,Clementon,19383,5136 Red Prairie Park,6.0,4.0,Late delivery,1.0,PAYMENT,Ifeoma,Hendricks,8021
151,425,425,Memphis,19382,5722 Easy Heath,5.0,4.0,Late delivery,1.0,PAYMENT,Kitra,Howard,38127
152,426,426,Antioch,19381,8895 Shady Cider Moor,4.0,4.0,Shipping on time,0.0,DEBIT,Summer,Hester,37013
153,427,427,Caguas,19380,4776 Pleasant Pioneer Cape,3.0,4.0,Advance shipping,0.0,DEBIT,Sopoline,Hood,725
154,428,428,Salt Lake City,19379,1853 Umber Field,2.0,4.0,Advance shipping,0.0,CASH,Emma,Suarez,84118
155,429,429,Caguas,19378,1142 Round Via,6.0,4.0,Late delivery,1.0,DEBIT,Eliana,Santos,725
156,430,430,Bakersfield,19377,2027 Thunder Creek Thicket,5.0,4.0,Late delivery,1.0,CASH,Denise,Young,93304
157,431,431,Caguas,19376,2059 Cozy Field,4.0,4.0,Shipping on time,0.0,TRANSFER,Hermione,Rose,725
158,432,432,Granada Hills,19375,4436 Tawny Private,3.0,4.0,Advance shipping,0.0,DEBIT,Lara,Kim,91344
159,433,433,Caguas,19374,3914 Silver Horse Cape,2.0,4.0,Advance shipping,0.0,DEBIT,Hedy,Dunn,725
160,434,434,Tallahassee,19373,5002 High Bank,6.0,4.0,Late delivery,1.0,DEBIT,Violet,Melton,32308
161,435,435,Caguas,19372,1982 Burning Forest,5.0,4.0,Late delivery,1.0,DEBIT,Taylor,Aguilar,725
162,436,436,Hempstead,19371,8776 Green Ridge,4.0,4.0,Shipping on time,0.0,TRANSFER,Clare,Jenkins,11550
163,437,437,Caguas,19370,2568 Rustic Valley,3.0,4.0,Advance shipping,0.0,CASH,Xerxes,Marsh,725
164,438,438,Astoria,19369,3071 Tawny Canyon,2.0,4.0,Advance shipping,0.0,TRANSFER,Rhonda,Bruce,11103
165,439,439,Gilroy,19368,9666 Colonial Hickory Thicket,6.0,4.0,Late delivery,1.0,DEBIT,Morgan,Jimenez,95020
166,440,440,Caguas,19367,9739 Round Spring Expressway,5.0,4.0,Late delivery,1.0,PAYMENT,Illiana,Mcpherson,725
167,441,441,Azusa,19366,3847 Blue Place,4.0,2.0,Late delivery,1.0,PAYMENT,Joan,Hickman,91702
168,442,442,Caguas,19365,3567 Rocky Grove,3.0,2.0,Late delivery,1.0,PAYMENT,Amity,Weber,725
169,443,443,Lenoir,19364,8324 Little Common,2.0,1.0,Late delivery,1.0,PAYMENT,Jayme,Tyler,28645
170,444,444,Columbus,19363,7802 Gentle Creek Square,6.0,2.0,Late delivery,1.0,DEBIT,Geraldine,Mcfadden,43228
171,445,445,Albany,19362,7176 Bright Timber Passage,5.0,2.0,Late delivery,1.0,DEBIT,Anika,Stokes,97321
172,446,446,Humacao,19361,6888 Wishing Mountain Run,4.0,2.0,Late delivery,1.0,DEBIT,Dana,Hoffman,791
173,447,447,Caguas,19360,4791 Harvest Quail Limits,1.0,0.0,Late delivery,1.0,PAYMENT,Blossom,Hill,725
174,448,448,Lindenhurst,19359,4482 Velvet Farm,1.0,0.0,Late delivery,1.0,DEBIT,Sybil,Noel,11757
175,449,449,Elyria,19358,4776 Crystal River Stead,1.0,0.0,Late delivery,1.0,DEBIT,Genevieve,Joyce,44035
176,450,450,Caguas,19357,425 Noble Lane,1.0,0.0,Late delivery,1.0,DEBIT,Tara,Gordon,725
177,451,451,Riverside,19356,9666 Gentle Shadow Thicket,1.0,0.0,Late delivery,1.0,CASH,Emma,Armstrong,92504
178,452,452,Caguas,19355,7550 Sleepy View Court,1.0,0.0,Shipping canceled,0.0,TRANSFER,Geraldine,Barlow,725
179,453,453,Carson,19354,777 Sleepy Quail Key,1.0,0.0,Late delivery,1.0,DEBIT,Lilah,Huff,90745
180,454,454,Mesa,19353,6718 High Panda Dell,6.0,4.0,Late delivery,1.0,DEBIT,Ella,Mcmahon,85204
181,455,455,Caguas,19352,9871 Cotton Lagoon End,5.0,4.0,Late delivery,1.0,DEBIT,Lilah,Glass,725
182,456,456,Honolulu,19351,1066 Hidden Green,4.0,4.0,Shipping on time,0.0,TRANSFER,Alyssa,Fowler,96818
183,457,457,Caguas,19350,7192 Green Arbor,3.0,4.0,Advance shipping,0.0,TRANSFER,Heather,Rocha,725
184,506,506,Caguas,6491,3169 Little Subdivision,5.0,2.0,Late delivery,1.0,PAYMENT,Bruce,Cruz,725
185,528,528,Caguas,2439,7173 Fallen Vista,5.0,2.0,Late delivery,1.0,PAYMENT,Mary,Smith,725
186,550,550,Caguas,14915,9126 Wishing Expressway,3.0,2.0,Late delivery,1.0,DEBIT,Octavia,French,725
187,558,558,Caguas,14770,4369 Bright Log Estates,3.0,2.0,Late delivery,1.0,DEBIT,Kelsie,Tate,725
188,565,565,Caguas,14824,1395 Cozy River Carrefour,2.0,2.0,Shipping on time,0.0,DEBIT,Jaime,Todd,725
189,573,573,Caguas,2168,4854 Tawny Cove,6.0,2.0,Late delivery,1.0,DEBIT,Mary,Reynolds,725
190,620,620,Caguas,1173,7800 Hazy Lake Acres,5.0,2.0,Late delivery,1.0,DEBIT,Mary,Silva,725
191,624,624,Caguas,13597,4520 Quiet Grounds,5.0,2.0,Late delivery,1.0,DEBIT,Sara,Mejia,725
192,633,633,Caguas,14848,432 Dusty Glen,6.0,2.0,Late delivery,1.0,DEBIT,Karina,Harper,725
193,658,658,Caguas,11290,4692 Gentle Turnabout,4.0,4.0,Shipping on time,0.0,TRANSFER,Catherine,Smith,725
194,697,697,Caguas,9803,8263 Indian Crossing,6.0,4.0,Shipping canceled,0.0,TRANSFER,Mary,Brady,725
195,799,799,Union City,10614,1870 Crystal Blossom Towers,2.0,4.0,Advance shipping,0.0,TRANSFER,James,Smith,7087
196,822,822,North Bergen,20402,3233 Silent Dale Manor,5.0,4.0,Late delivery,1.0,DEBIT,Cleo,Buchanan,7047
197,826,826,Baltimore,18007,6651 Quaking Highlands,5.0,4.0,Late delivery,1.0,DEBIT,Audra,Weber,21218
198,837,837,North Las Vegas,15995,5234 Clear Horse Townline,3.0,4.0,Advance shipping,0.0,DEBIT,Cora,Cotton,89030
199,842,842,Chicago,16013,3719 Silver Key,6.0,4.0,Late delivery,1.0,DEBIT,Hillary,Atkins,60649
200,844,844,Fairfield,20545,1202 Quaking Embers Link,3.0,4.0,Advance shipping,0.0,DEBIT,Mara,Roman,45014
201,860,860,Los Angeles,20400,4788 Gentle Wynd,3.0,4.0,Advance shipping,0.0,DEBIT,Wynter,Justice,90032
202,886,886,Spring Valley,17747,3238 Pleasant Leaf Thicket,5.0,4.0,Late delivery,1.0,DEBIT,Jacqueline,Bauer,10977
203,887,887,Fort Lauderdale,16011,214 Lost Apple Close,4.0,4.0,Shipping on time,0.0,DEBIT,Martina,Bridges,33312
204,889,889,Chicago,18004,7829 Easy Estates,2.0,4.0,Advance shipping,0.0,DEBIT,Delilah,Church,60643
205,901,901,Newburgh,17459,4791 Heather Cider Orchard,2.0,4.0,Advance shipping,0.0,DEBIT,Tatyana,Vasquez,12550
206,905,905,Milpitas,17746,1230 Crystal Lookout,4.0,4.0,Shipping on time,0.0,DEBIT,Roanna,Combs,95035
207,1090,1090,Tampa,19349,7595 Quiet Nectar Circuit,2.0,2.0,Shipping on time,0.0,CASH,Hope,Diaz,33624
208,1091,1091,San Benito,19348,2589 Iron Pines,6.0,4.0,Late delivery,1.0,DEBIT,Unity,Oneal,78586
209,1092,1092,Caguas,19347,5010 Emerald Hollow,5.0,4.0,Late delivery,1.0,CASH,Kelly,Lyons,725
210,1093,1093,Indianapolis,19346,6471 Gentle Bank,4.0,4.0,Shipping on time,0.0,PAYMENT,Mechelle,Hale,46226
211,1094,1094,Caguas,19345,4439 Tawny Mall,3.0,4.0,Advance shipping,0.0,PAYMENT,Blythe,Cantu,725
212,1095,1095,Enfield,19344,9089 Round Willow Route,2.0,2.0,Shipping on time,0.0,TRANSFER,Audrey,Witt,6082
213,1096,1096,Caguas,19343,5723 Stony Valley,6.0,2.0,Late delivery,1.0,TRANSFER,Cara,Scott,725
214,1097,1097,Los Angeles,19342,9729 Stony Dale Range,2.0,1.0,Late delivery,1.0,TRANSFER,Jorden,Bailey,90043
215,1098,1098,Caguas,19341,4021 Rocky Prairie Gardens,2.0,1.0,Late delivery,1.0,TRANSFER,Heidi,Moran,725
216,1099,1099,Modesto,19340,4062 Clear Pond Circuit,2.0,1.0,Late delivery,1.0,CASH,Lenore,Gaines,95351
217,1100,1100,Caguas,19339,4388 Burning Goose Ridge,2.0,1.0,Late delivery,1.0,TRANSFER,Aiko,Johnston,725
